Countries and areas,Reference year(s),2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brunei Darussalam,2004-2014,8.8,7.4,6.6,7.6,7.0,7.4,6.1,8.3,9.3,7.6,7.4
Cambodia,2004-2014,76.0,66.0,,70.0,60.0,60.0,44.9,36.0,33.0,,
Indonesia ,2004-2014,33.9,28.9,30.8,,,,34.0,34.0,27.2,,
Lao's PDR,2004-2014,86.0,70.0,67.2,64.4,61.8,59.2,56.6,68.0,51.5,48.9,
Malaysia ,2004-2014,6.5,6.6,6.1,6.3,6.2,6.9,6.8,6.6,6.6,,
Myanmar,2004-2014,81.0,46.5,46.3,46.5,29.5,27.2,27.1,27.0,26.0,24.3,
Philippines,2004-2014,35.0,27.0,25.0,23.0,24.5,23.0,24.5,23.9,27.0,20.0,
Singapore,2004-2014,2.0,2.1,2.6,2.1,2.1,2.2,2.0,2.0,1.8,2.0,1.8
Thailand,2004-2014,7.5,7.6,7.4,7.2,7.3,7.1,7.0,6.6,6.8,,
Viet Nam,2004-2014,18.0,17.8,16.0,13.0,15.0,16.0,15.8,15.5,15.4,15.3,14.9
,,,,,,,,,,,,
,,,,,,,,,,,,
