Country,Year,Physicians density (per 1000 population)
Brunei Darussalam,2012,1.47
Brunei Darussalam,2011,1.522
Brunei Darussalam,2010,1.431
Brunei Darussalam,2009,1.15
Brunei Darussalam,2008,1.481
Brunei Darussalam,2007,1.05
Brunei Darussalam,2006,1.084
Brunei Darussalam,2005,1.078
Brunei Darussalam,2004,1.302
Brunei Darussalam,2002,1.165
Brunei Darussalam,2000,1.016
Cambodia,2013,0.168
Cambodia,2012,0.165
Cambodia,2011,0.226
Cambodia,2010,0.229
Cambodia,2009,0.237
Cambodia,2008,0.244
Cambodia,2004,
Cambodia,2000,0.168
Cambodia,1998,0.147
Cambodia,1996,0.113
Indonesia,2012,0.201
Indonesia,2010,0.14
Indonesia,2009,0.145
Indonesia,2003,0.134
Indonesia,1993,0.058
Indonesia,1992,
Lao People's Democratic Republic,2012,0.179
Lao People's Democratic Republic,2009,0.197
Lao People's Democratic Republic,2005,0.281
Lao People's Democratic Republic,2004,0.353
Lao People's Democratic Republic,2000,0.284
Lao People's Democratic Republic,1995,0.341
Malaysia,2011,1.281
Malaysia,2010,1.173
Malaysia,2008,0.923
Malaysia,2007,
Malaysia,2002,0.697
Malaysia,2000,0.689
Myanmar,2012,0.568
Myanmar,2011,0.539
Myanmar,2010,0.511
Myanmar,2009,0.478
Myanmar,2008,0.465
Myanmar,2007,0.43
Myanmar,2006,0.407
Myanmar,2005,0.372
Myanmar,2004,0.359
Philippines,2011,
Philippines,2004,1.11
Philippines,2002,1.112
Philippines,2000,0.568
Singapore,2013,1.913
Singapore,2012,1.82
Singapore,2011,1.747
Singapore,2010,1.736
Singapore,2009,1.676
Singapore,2008,1.617
Singapore,2007,1.56
Singapore,2006,1.502
Singapore,2005,1.501
Singapore,2004,1.484
Singapore,2003,1.5
Singapore,2001,1.428
Singapore,1999,1.393
Thailand,2010,0.394
Thailand,2009,0.34
Thailand,2008,0.317
Thailand,2007,0.295
Thailand,2006,0.286
Thailand,2004,0.289
Thailand,2002,0.296
Thailand,2001,0.299
Thailand,1999,0.293
Thailand,1998,0.293
Thailand,1997,0.274
Thailand,1995,0.239
Thailand,1993,0.234
Thailand,1991,0.224
Viet Nam,2013,1.18
Viet Nam,2012,1.266
Viet Nam,2011,1.152
Viet Nam,2010,1.127
Viet Nam,2009,1.124
Viet Nam,2008,1.237
Viet Nam,2007,1.208
Viet Nam,2006,1.196
Viet Nam,2005,1.201
Viet Nam,2002,0.549
Viet Nam,2001,0.522
