Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brunei Darussalam*,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Cambodia,32.1,29.7,29.0,28.3,29.4,32.0,35.4,36.8,35.3,32.0,28.5,25.9,23.6,22.1,20.8,19.6,18.3,17.5,17.1,17.0,16.8,16.4,15.7,15.0,14.2
Indonesia,19.7,19.0,18.1,16.8,15.6,14.7,14.6,15.3,16.2,17.2,18.1,18.7,18.8,18.7,18.8,18.8,18.5,17.7,15.9,13.5,11.1,9.3,8.2,7.6,7.6
Lao People's Democratic Republic,42.8,43.6,44.1,44.5,44.1,43.1,41.8,41.1,40.0,39.2,37.9,36.7,34.8,32.2,29.5,26.9,25.6,24.7,24.2,22.8,21.4,20.1,19.4,18.9,18.5
Malaysia,5.1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Myanmar,62.6,62.7,62.5,61.6,60.7,58.8,57.0,55.3,54.2,52.4,49.6,46.3,42.9,39.9,36.9,33.7,30.1,26.4,23.0,20.2,18.0,16.5,15.5,14.9,14.2
Philippines,26.3,27.0,26.4,26.0,24.7,23.7,22.8,22.7,22.2,21.3,20.3,19.7,19.2,18.6,17.6,16.4,15.0,13.8,13.0,13.0,13.4,13.9,14.0,13.9,13.5
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,34.6,33.2,32.6,30.8,27.9,24.8,21.6,20.1,19.3,19.0,18.4,17.5,16.3,15.0,13.4,11.7,10.4,9.7,9.5,9.3,8.9,8.6,8.3,7.9,7.4
Viet Nam,45.6,44.8,41.3,37.9,35.5,35.1,35.1,34.2,31.4,28.1,25.4,23.3,21.4,19.9,19.0,18.5,17.8,16.8,15.6,14.5,13.6,13.0,12.5,11.8,11.0
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
